rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
2,優酪乳,6,6.0,3,4,1,13.333333333333332,1
2,充品,4,4.0,1,1,1,10.0,2
2,刷牙,6,6.0,1,1,1,10.0,2
2,副乾酪乳桿菌,4,4.0,4,5,1,12.5,1
2,口臭,4,4.0,1,1,1,10.0,2
2,可溶性,4,4.0,2,2,1,10.0,2
2,吃益生菌,14,14.0,5,9,1,18.0,1
2,嗜酸乳桿菌,5,5.0,4,4,1,10.0,1
2,均衡,5,5.0,1,1,1,10.0,2
2,壓力,5,5.0,2,2,1,10.0,2
2,多元,5,5.0,1,1,1,10.0,2
2,大本山益生菌,5,5.0,1,1,1,10.0,2
2,好菌,20,6.666666666666667,7,12,3,17.142857142857142,1
2,定性,4,4.0,1,1,1,10.0,2
2,定殖,9,9.0,5,6,1,12.0,1
2,宿主,4,4.0,1,1,1,10.0,2
2,寡糖,5,5.0,5,7,1,14.0,1
2,實驗,5,5.0,1,1,1,10.0,2
2,寶寶,11,11.0,1,1,1,10.0,2
2,專利,8,8.0,6,8,1,13.333333333333332,1
2,屎腸球菌,6,6.0,1,1,1,10.0,2
2,屏障,5,5.0,2,2,1,10.0,2
2,市售,8,8.0,2,2,1,10.0,1
2,市面上,7,7.0,1,1,1,10.0,2
2,幫助,16,8.0,5,7,2,14.0,1
2,延伸,7,7.0,1,1,1,10.0,2
2,影片,17,17.0,1,1,1,10.0,2
2,微生物,32,32.0,7,9,1,12.857142857142858,1
2,抗生素,8,8.0,5,5,1,10.0,1
2,指出,7,7.0,2,2,1,10.0,2
2,挑選,15,7.5,5,6,2,12.0,1
2,攝取,5,5.0,5,5,1,10.0,2
2,改變,6,6.0,1,1,1,10.0,2
2,早安,5,5.0,1,1,1,10.0,2
2,更多,20,20.0,1,1,1,10.0,2
2,服用,26,13.0,4,5,2,12.5,1
2,服部,6,6.0,1,1,1,10.0,2
2,比菲德氏菌,8,8.0,4,4,1,10.0,1
2,比較,11,11.0,3,3,1,10.0,1
2,消化,13,13.0,1,1,1,10.0,2
2,消化系,10,10.0,1,1,1,10.0,2
2,消除,7,7.0,1,1,1,10.0,2
2,減緩,4,4.0,1,1,1,10.0,2
2,減肥,7,7.0,2,2,1,10.0,1
2,熱門,11,11.0,1,1,1,10.0,2
2,營養師,8,8.0,2,3,1,15.0,1
2,營養素,9,9.0,1,1,1,10.0,2
2,球菌,14,14.0,6,6,1,10.0,1
2,環境,7,7.0,3,3,1,10.0,2
2,產品,15,15.0,8,12,1,15.0,1
2,產生,10,10.0,2,3,1,15.0,2
2,疾病,11,11.0,4,4,1,10.0,2
2,症狀,4,4.0,3,3,1,10.0,2
2,痠痛,5,5.0,1,1,1,10.0,2
2,瘦身,7,7.0,1,1,1,10.0,2
2,發炎,4,4.0,2,2,1,10.0,2
2,發現,9,9.0,3,3,1,10.0,2
2,益生菌,136,136.0,4,6,1,15.0,1
2,益生菌推薦,4,4.0,3,7,1,23.333333333333336,1
2,益生質,17,17.0,7,10,1,14.285714285714286,1
2,益菌,5,5.0,4,5,1,12.5,1
2,研究,23,23.0,3,3,1,10.0,1
2,碧安朵,4,4.0,1,1,1,10.0,2
2,科學,6,6.0,2,2,1,10.0,2
2,秘訣,5,5.0,1,1,1,10.0,2
2,精選,10,10.0,1,1,1,10.0,2
2,糞腸球菌,5,5.0,2,2,1,10.0,2
2,細菌,31,10.333333333333334,6,10,3,16.666666666666668,1
2,維基百科,5,5.0,1,1,1,10.0,2
2,維持,5,5.0,4,4,1,10.0,2
2,網址,5,5.0,1,1,1,10.0,2
2,編號,8,8.0,3,4,1,13.333333333333332,1
2,腸胃,6,6.0,2,2,1,10.0,1
2,腸胃道,5,5.0,4,4,1,10.0,1
2,腸道,73,18.25,10,33,4,33.0,1
2,腹瀉,4,4.0,7,8,1,11.428571428571427,1
2,菌數,21,10.5,6,13,2,21.666666666666664,1
2,菌株,59,19.666666666666668,9,20,3,22.22222222222222,1
2,菌種,42,14.0,9,26,3,28.88888888888889,1
2,藥性,4,4.0,1,1,1,10.0,2
2,補充,16,8.0,6,9,2,15.0,1
2,調節,7,7.0,5,6,1,12.0,2
2,論述,4,4.0,1,1,1,10.0,2
2,證實,11,5.5,1,2,2,20.0,2
2,身體,10,10.0,2,2,1,10.0,2
2,農純,5,5.0,1,1,1,10.0,2
2,運動,23,23.0,1,1,1,10.0,2
2,過敏,6,6.0,4,4,1,10.0,1
2,過程,6,6.0,1,1,1,10.0,2
2,適合,7,7.0,4,4,1,10.0,2
2,選擇,24,24.0,2,2,1,10.0,1
2,醫學,6,6.0,2,2,1,10.0,1
2,醫師,51,51.0,2,2,1,10.0,1
2,針對,15,15.0,1,1,1,10.0,2
2,錢政弘,4,4.0,1,1,1,10.0,2
2,陰道,4,4.0,2,2,1,10.0,2
2,雙歧桿菌,7,7.0,1,1,1,10.0,2
2,預防,6,6.0,3,4,1,13.333333333333332,2
2,食材,9,9.0,1,1,1,10.0,2
2,飲食,25,25.0,3,3,1,10.0,1
2,養生,8,8.0,1,1,1,10.0,2
2,體內,5,5.0,4,4,1,10.0,1
